tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma100g00010	102.746	66.7563	86.9637	86.4262	103.097	75.3513
Zosma100g00020	130.644	180.359	132.541	196.896	205.469	169.374
Zosma100g00030	623.96	674.59	652.752	648.522	575.022	644.82
Zosma100g00040	3.40218	121.215	0	0	10.1645	42.6768
Zosma100g00050	18.3718	87.2516	4.7149	8.44768	8.71246	38.6759
Zosma100g00060	784.543	974.993	914.167	672.565	1362.77	1158.28
Zosma100g00070	365.394	390.583	370.382	348.954	378.266	439.438
Zosma100g00080	93.9002	101.306	96.3935	55.8846	105.276	100.024
Zosma100g00090	408.942	438.601	439.01	397.691	583.009	434.77
Zosma100g00110	93.9002	56.2158	61.8176	99.4227	20.3291	44.0105
Zosma100g00120	287.825	117.116	178.642	125.416	122.7	123.363
Zosma100g00150	6195.37	5334.06	6806.74	6834.82	8375.58	5586
Zosma100g00160	34.0218	44.5042	34.5759	42.2384	60.9872	30.674
Zosma100g00180	755.284	1199.86	765.386	1198.27	1891.33	1313.65
Zosma100g00200	559.999	440.357	453.678	545.85	488.624	507.454
Zosma100g00220	78.2502	200.269	81.7249	128.665	230.154	224.72
Zosma100g00230	223.183	436.258	246.746	260.578	379.718	364.087
Zosma100g00240	164.666	127.071	154.544	138.412	159.002	119.362
Zosma100g00280	495.358	462.609	542.737	499.713	516.213	415.432
Zosma100g00290	87.0958	87.8372	94.298	94.2241	114.714	78.6854
Zosma100g00320	34.7023	45.6754	45.5774	45.4875	13.0687	26.0062
Zosma100g00330	391.931	160.449	436.39	413.936	193.126	129.364
Zosma100g00350	257.205	309.773	246.223	276.824	336.156	316.742
Zosma101g00010	134.046	56.2158	109.49	105.921	50.0966	72.684
Zosma101g00020	121.798	86.6661	121.54	102.672	76.96	56.6802
Zosma101g00040	1898.42	1123.73	1108	672.565	1073.08	1218.96
Zosma101g00050	266.051	453.24	289.181	419.135	399.321	434.103
Zosma101g00090	198.007	199.098	203.788	224.838	272.264	232.722
Zosma101g00110	1100.95	962.696	1216.44	1123.54	1108.66	1031.58
Zosma101g00120	130.644	141.125	124.683	183.899	170.619	84.02
Zosma101g00130	54.4349	122.387	62.8653	49.3864	101.645	86.0205
Zosma101g00140	263.329	438.601	303.849	378.846	516.939	342.081
Zosma101g00190	675.673	419.862	732.381	697.908	609.872	436.104
Zosma101g00200	21.0935	4.68465	22.5267	66.9316	5.8083	5.3346
Zosma101g00210	195.285	89.594	236.269	391.192	135.769	77.3518
Zosma101g00220	1428.92	1130.76	461.013	547.799	762.34	944.225
Zosma101g00230	673.632	962.696	363.047	781.735	397.869	962.229
Zosma101g00240	801.554	130.585	545.357	2044.99	143.756	302.072
Zosma101g00250	3644.42	2387.42	3739.96	5417.56	2711.03	2019.81
Zosma101g00260	1727.63	2380.39	1786.42	2204.84	3313.64	2261.21
Zosma101g00270	100.024	119.459	113.681	83.827	145.208	107.359
Zosma101g00280	195.966	695.671	335.282	430.832	545.255	438.104
Zosma101g00290	369.477	498.915	533.832	558.846	501.692	429.436
Zosma101g00300	341.579	180.359	147.21	108.52	171.345	126.697
Zosma101g00310	381.725	250.043	382.431	317.763	133.591	368.755
Zosma101g00320	178.955	301.574	173.404	222.889	335.43	348.083
Zosma101g00340	1897.74	1302.33	686.804	707.656	1236.44	775.518
Zosma101g00350	442.964	357.79	489.826	476.319	249.031	299.405
Zosma101g00380	315.042	241.26	337.901	216.391	265.004	226.721
Zosma101g00390	238.153	432.745	269.273	256.03	376.814	381.424
Zosma101g00430	553.875	764.184	661.658	640.074	614.228	626.149
Zosma101g00440	400.777	277.566	384.002	406.138	238.867	313.408
Zosma101g00450	264.69	187.972	262.987	287.221	260.648	210.05
Zosma101g00460	284.422	272.881	325.852	330.109	182.236	299.405
Zosma101g00470	406.22	139.368	425.913	368.449	225.072	147.368
Zosma101g00490	504.884	555.717	442.153	650.471	460.308	507.454
Zosma101g00500	3956.06	900.039	6312.73	2346.51	1042.59	1301.64
Zosma101g00510	832.174	446.799	570.503	265.777	522.747	328.745
Zosma101g00520	1094.82	908.237	1788.52	3861.24	1171.1	765.516
Zosma101g00530	10.887	24.5944	16.7641	44.1879	26.1374	8.66873
Zosma101g00540	440.923	193.827	297.039	259.929	193.126	216.051
Zosma101g00550	260.607	257.656	282.894	405.489	375.362	258.728
Zosma101g00560	240.874	263.512	281.846	326.21	424.732	266.063
Zosma101g00580	54.4349	93.693	68.1041	88.3757	142.303	74.0176
Zosma101g00630	303.475	311.529	348.903	417.835	233.784	278.066
Zosma101g00640	114.994	56.2158	62.3415	48.7366	116.166	53.346
Zosma101g00660	199.368	232.476	231.554	233.936	133.591	240.724
Zosma101g00670	1941.97	1069.27	1595.21	1661.59	967.809	902.882
Zosma101g00680	122.479	202.026	97.4413	77.9786	242.497	262.729
Zosma101g00730	291.227	360.133	277.131	225.488	234.51	314.742
Zosma101g00740	1027.46	466.708	823.012	653.071	419.65	527.459
Zosma101g00750	2343.42	1266.03	2715.26	2371.85	1814.37	1188.95
Zosma101g00760	166.026	164.548	137.256	100.072	96.5631	250.726
Zosma101g00770	315.042	292.791	238.364	160.506	249.757	572.136
Zosma101g00790	197.327	165.134	155.068	133.213	217.085	138.033
Zosma101g00800	1752.12	705.04	1879.67	891.555	733.298	642.153
Zosma101g00810	608.99	807.517	672.135	710.255	1014.28	867.54
Zosma101g00820	2091.66	1591.02	2086.61	1942.32	1955.22	1631.72
Zosma101g00830	55.1153	197.341	84.8682	324.261	361.567	226.721
Zosma101g00840	87.7763	49.1888	55.5311	50.6861	22.5072	37.3422
Zosma1024g00010	66.6828	156.35	77.01	89.0255	122.7	158.038
Zosma102g00030	521.214	621.302	547.452	501.662	863.259	641.486
Zosma102g00050	261.288	365.403	243.603	279.423	365.197	326.078
Zosma102g00060	257.205	186.215	246.746	183.25	198.208	210.717
Zosma102g00070	108.87	168.062	110.538	170.903	212.003	156.037
Zosma102g00100	2.04131	24.5944	0.523878	0.649821	7.26038	23.3389
Zosma102g00110	983.23	2328.27	180.738	129.964	815.341	1341.65
Zosma102g00120	266.731	306.259	270.321	228.737	264.278	308.74
Zosma102g00140	174.192	176.846	190.692	158.556	190.222	190.712
Zosma102g00150	189.161	200.269	211.647	278.773	267.182	164.039
Zosma102g00180	221.822	275.809	222.124	203.394	218.537	304.739
Zosma102g00200	186.44	233.647	209.027	247.582	196.03	192.046
Zosma102g00210	760.047	917.021	935.122	1039.06	1142.78	875.542
Zosma102g00240	89.8176	87.2516	160.307	89.6754	227.25	100.691
Zosma102g00260	280.34	350.178	306.469	317.763	458.13	411.431
Zosma103g00060	69.4045	64.9995	57.1027	50.0362	63.8914	93.3556
Zosma103g00090	206.853	26.9367	122.587	77.3287	935.863	344.749
Zosma103g00100	2298.51	3157.46	2211.81	2271.78	3238.13	2914.03
Zosma103g00110	738.954	292.205	923.073	705.056	495.158	314.075
Zosma103g00130	313.681	286.349	276.084	270.326	196.756	268.064
Zosma103g00140	422.551	375.943	582.028	712.204	190.948	334.746
Zosma103g00160	792.708	566.257	696.234	543.901	615.68	508.121
Zosma103g00170	209.574	295.133	220.029	273.575	313.648	287.402
Zosma103g00180	696.086	2394.44	551.119	384.694	2302.99	2157.85
Zosma103g00190	304.835	4.68465	2.61939	3.89893	8.71246	3.33413
Zosma103g00210	193.244	202.026	205.884	174.802	206.195	195.38
Zosma103g00220	302.794	334.953	369.334	325.561	431.993	376.09
Zosma103g00240	104.787	0	188.072	233.936	1.45208	0
Zosma103g00260	12.9283	4.68465	38.767	112.419	5.8083	2.00048
Zosma103g00270	59.8784	64.9995	45.0535	47.437	29.7676	48.6783
Zosma103g00290	1745.32	960.939	1694.22	1566.07	2738.62	1486.35
Zosma103g00300	201.409	223.692	218.981	241.734	189.496	185.377
Zosma103g00310	113.633	2.92791	1.57163	5.84839	5.8083	3.33413
Zosma103g00320	17.0109	39.234	24.0984	45.4875	14.5208	38.6759
Zosma103g00330	28.5783	49.7744	35.6237	48.7366	78.4121	80.6859
Zosma103g00340	1193.49	1695.84	1340.08	832.421	1513.06	2978.04
Zosma103g00350	206.853	211.395	220.553	218.34	237.414	233.389
Zosma103g00360	240.874	192.071	239.936	201.445	184.414	180.043
Zosma103g00380	87.0958	60.9005	96.3935	113.069	92.9329	90.0214
Zosma103g00390	31.3001	53.2879	38.2431	63.6825	61.7132	45.3441
Zosma103g00400	47.6305	101.891	56.0549	85.1266	68.2476	70.6835
Zosma103g00410	603.547	764.184	566.312	749.894	554.693	696.166
Zosma103g00420	332.053	652.338	335.806	310.615	385.526	529.459
Zosma103g00430	76.8893	42.1619	47.6729	85.1266	29.0415	41.3432
Zosma103g00440	4652.14	2519.76	4609.6	4144.56	2608.65	2545.27
Zosma103g00460	613.073	666.392	638.083	673.865	654.16	668.826
Zosma103g00470	660.704	767.112	702.52	959.136	918.438	721.505
Zosma103g00490	603.547	162.206	212.171	138.412	166.989	240.057
Zosma103g00500	123.839	93.693	124.683	168.304	77.6861	105.358
Zosma103g00510	191.203	135.269	141.971	144.26	108.906	193.379
Zosma103g00520	199.368	188.557	217.933	300.867	180.057	141.367
Zosma103g00530	89.1372	125.9	85.916	88.3757	113.262	168.04
Zosma103g00550	545.029	553.96	646.989	442.528	373.91	474.113
Zosma103g00560	238.153	636.527	216.362	405.489	721.682	573.47
Zosma103g00610	144.933	186.215	131.493	116.318	130.687	286.068
Zosma103g00630	559.319	784.094	523.354	428.882	858.903	830.198
Zosma103g00640	136.087	136.44	140.399	144.26	144.482	113.36
Zosma103g00700	29.2588	45.6754	15.7163	9.74732	27.5894	32.0076
Zosma103g00710	97.9828	207.296	124.159	138.412	224.346	234.056
Zosma103g00720	1754.16	1053.46	1633.98	1032.57	967.809	931.555
Zosma103g00730	173.511	186.8	157.687	170.903	294.045	227.388
Zosma103g00740	99.3437	70.8554	94.8219	96.8234	111.81	90.6883
Zosma103g00750	70.0849	59.7293	16.2402	3.89893	36.3019	185.377
Zosma103g00760	1075.77	528.194	916.262	773.287	583.735	625.482
Zosma103g00770	78.2502	73.1977	50.2923	81.8775	68.2476	59.3475
Zosma103g00780	449.088	391.754	395.528	361.301	392.787	420.1
Zosma103g00790	113.633	158.693	87.4876	89.6754	180.057	150.036
Zosma103g00800	153.098	143.467	130.446	133.213	159.728	172.708
Zosma103g00810	132.685	46.2609	79.6294	154.008	37.0279	61.3479
Zosma103g00820	399.416	543.42	473.062	439.279	678.12	525.459
Zosma103g00850	821.287	993.146	917.834	911.05	1258.95	1107.6
Zosma103g00860	117.715	195.584	134.637	165.055	351.402	245.392
Zosma103g00890	177.594	68.513	228.935	566.644	135.769	58.0138
Zosma103g00900	1454.77	1858.05	1129.48	1290.55	2071.39	1831.1
Zosma104g00100	176.233	165.134	156.116	140.361	201.113	204.049
Zosma104g00110	295.99	322.07	273.464	373.647	312.922	328.745
Zosma104g00120	132.685	138.783	123.111	152.708	150.29	146.702
Zosma104g00130	3.40218	17.5674	0.523878	0.649821	6.53434	36.0086
Zosma104g00150	3963.54	2590.03	6220	10295.8	6090.73	3843.58
Zosma104g00180	264.69	243.602	259.32	214.441	304.21	298.738
Zosma104g00190	885.928	784.679	903.165	894.154	991.042	732.174
Zosma104g00200	1647.34	1434.67	1400.33	1520.58	1349.7	1294.98
Zosma104g00210	232.709	393.511	334.758	200.145	335.43	358.085
Zosma104g00240	1140.41	1294.72	1207.01	1132.64	1216.11	1172.95
Zosma104g00260	1076.45	748.959	864.922	850.616	628.023	658.824
Zosma104g00280	570.886	547.519	618.7	603.684	357.211	538.795
Zosma104g00290	93.9002	80.8102	121.016	148.159	90.7548	101.357
Zosma104g00300	657.982	854.949	681.565	741.446	983.782	960.229
Zosma104g00310	316.403	502.429	387.67	534.803	453.774	453.441
Zosma104g00330	64.6414	25.18	35.6237	34.4405	21.7811	32.0076
Zosma104g00340	246.318	104.233	142.495	152.058	81.3163	107.359
Zosma104g00350	1927	1417.11	2331.78	2603.83	2047.43	1423.67
Zosma104g00370	1394.21	1877.96	1394.04	1246.36	1526.86	1584.38
Zosma104g00400	464.738	296.89	553.739	432.781	287.511	256.061
Zosma104g00410	76.8893	132.927	74.3907	117.618	153.194	148.035
Zosma104g00420	250.401	261.755	251.985	274.874	217.811	236.723
Zosma105g00010	242.916	189.143	253.033	273.575	102.371	205.382
Zosma105g00030	63.961	30.4502	90.6309	51.3359	22.5072	17.3375
Zosma105g00050	48.9914	0	30.3849	261.228	0.726038	0.666826
Zosma105g00060	66.6828	1.75674	44.5296	274.874	2.17811	0.666826
Zosma105g00130	10.2065	0	6.28653	44.1879	0	0
Zosma105g00150	2099.15	1556.48	2032.12	1569.32	2109.14	1643.72
Zosma105g00160	1540.51	1198.1	1654.93	1569.97	1323.57	1228.96
Zosma105g00180	1578.61	1229.72	1397.18	1473.79	1482.57	1056.92
Zosma105g00190	1871.88	778.238	769.577	480.218	702.079	860.872
Zosma105g00220	1152.66	1296.48	1187.11	1087.8	1460.06	1233.63
Zosma105g00260	368.116	225.449	388.193	285.921	245.401	205.382
Zosma105g00270	357.909	108.333	475.157	443.828	198.934	116.028
Zosma105g00280	421.19	515.897	557.93	492.565	618.584	307.407
Zosma105g00290	154.459	983.777	95.8696	60.4334	364.471	690.164
Zosma105g00320	0.680436	33.9637	0	51.3359	0	0
Zosma105g00360	478.347	707.968	567.884	861.663	909.726	611.479
Zosma105g00370	16.3305	9.95488	34.5759	6.49821	7.98642	5.3346
Zosma105g00380	5675.52	4003.03	6680.49	5732.72	5199.88	3295.45
Zosma105g00390	109.55	137.026	109.49	125.416	164.811	129.364
Zosma105g00400	75.5284	90.7651	93.2503	96.1736	98.0151	63.3484
Zosma105g00420	37.424	84.9093	60.7698	14.9459	68.9736	68.683
Zosma105g00430	114.313	146.395	145.638	84.4768	135.043	112.027
Zosma105g00440	332.053	402.88	352.57	454.875	404.403	356.752
Zosma105g00450	389.21	371.844	369.858	358.052	457.404	379.424
Zosma105g00460	127.922	157.521	115.777	171.553	185.866	174.041
Zosma105g00470	77.5697	49.1888	103.728	42.8882	31.9457	67.3494
Zosma105g00480	288.505	141.711	376.668	391.842	185.866	134.032
Zosma105g00490	493.997	257.07	554.787	635.525	201.113	356.085
Zosma105g00500	206.172	179.774	183.881	300.867	239.593	190.045
Zosma105g00510	152.418	184.458	136.208	202.094	227.25	214.051
Zosma105g00520	49.6719	53.8735	61.8176	95.5237	69.6997	45.3441
Zosma105g00530	31.9805	72.0265	41.3863	79.928	71.8778	60.0143
Zosma105g00540	70.7654	105.99	71.2474	113.069	84.2204	79.3522
Zosma105g00550	56.4762	72.6121	64.9609	55.8846	23.2332	76.6849
Zosma105g00570	113.633	163.963	116.301	122.816	206.195	154.037
Zosma105g00580	95.9415	92.5219	21.479	83.1771	45.0144	238.724
Zosma105g00590	2735.35	2753.99	2298.25	1642.75	3121.24	2453.92
Zosma105g00610	270.133	411.078	480.92	300.217	672.311	291.403
Zosma105g00620	427.314	735.49	583.076	643.323	850.917	648.821
Zosma105g00630	236.111	405.808	282.37	339.207	551.063	376.09
Zosma105g00640	253.122	206.71	304.897	378.846	258.47	222.053
Zosma105g00650	553.875	395.853	668.992	484.767	413.116	348.083
Zosma105g00660	171.47	184.458	160.307	242.383	222.894	196.047
Zosma105g00670	336.136	241.26	332.662	279.423	181.51	230.722
Zosma105g00680	294.629	192.656	239.412	200.795	246.127	196.714
Zosma105g00690	1571.81	1090.94	1352.13	992.927	1113.02	1157.61
Zosma105g00700	1776.62	557.474	1383.56	814.876	877.78	554.132
Zosma105g00720	259.927	224.863	247.27	185.199	158.276	228.721
Zosma105g00740	36.7436	23.4233	35.0998	50.0362	15.2468	30.0071
Zosma105g00750	344.981	245.944	374.573	386.644	250.483	260.062
Zosma105g00760	167.387	242.431	173.927	231.986	259.922	274.065
Zosma105g00770	1112.51	1345.08	992.225	1174.88	1221.2	1459.01
Zosma106g00100	177.594	232.476	215.838	180.65	245.401	171.374
Zosma106g00110	212.977	230.719	166.069	188.448	255.565	318.743
Zosma106g00120	981.87	550.447	435.866	449.027	558.323	794.189
Zosma106g00130	672.952	834.454	607.174	475.019	673.037	936.89
Zosma106g00140	156.5	288.692	162.402	282.022	323.087	290.736
Zosma106g00150	147.655	220.764	235.745	238.484	164.811	182.043
Zosma106g00160	41.5066	9.95488	14.1447	14.9459	7.98642	1.33365
Zosma106g00180	3972.39	4731.5	3966.28	4221.24	6469	4902.5
Zosma106g00200	493.316	443.285	527.545	478.918	532.912	447.44
Zosma106g00220	45.5892	66.1707	39.2908	67.5814	37.754	50.0119
Zosma106g00230	132.005	9.3693	7.33429	5.84839	19.603	11.336
Zosma106g00240	1728.31	1097.38	188.072	288.521	617.132	335.413
Zosma106g00250	31.9805	176.26	69.6758	19.4946	207.647	155.37
Zosma106g00260	272.855	443.871	366.714	348.954	360.841	448.774
Zosma106g00270	363.353	445.042	375.097	362.6	476.281	422.101
Zosma106g00300	161.263	9.95488	4.19102	10.3971	15.9728	22.6721
Zosma106g00310	394.653	434.501	501.875	712.854	517.665	430.102
Zosma106g00330	1007.73	1745.62	1079.71	1102.1	3823.32	2165.18
Zosma106g00340	85.0545	165.134	96.3935	175.452	132.139	133.365
Zosma106g00350	648.456	698.599	710.378	885.057	1168.92	709.502
Zosma106g00360	102.746	152.837	110.538	167.654	176.427	113.36
Zosma106g00380	462.016	671.662	502.399	623.829	720.956	738.176
Zosma106g00410	621.238	481.934	614.509	534.803	777.587	757.514
Zosma106g00430	89.8176	115.36	39.2908	74.0796	33.3978	211.384
Zosma106g00440	1232.27	1356.79	1157.25	1245.06	1497.82	1332.98
Zosma106g00450	159.903	168.647	187.024	413.286	222.168	210.717
Zosma106g00460	413.025	453.826	440.057	582.89	503.87	420.767
Zosma106g00490	8.84567	51.5312	6.81041	0.649821	18.151	37.3422
Zosma106g00510	144.252	315.628	159.259	185.849	438.527	308.073
Zosma106g00520	67.3632	127.657	74.3907	76.6789	137.947	132.698
Zosma106g00530	82.3328	74.9544	74.3907	97.4732	72.6038	97.3565
Zosma106g00540	283.062	134.684	44.0057	44.1879	56.631	114.027
Zosma106g00550	110.911	210.809	121.016	81.8775	148.112	164.706
Zosma106g00560	28.5783	52.7023	17.8118	25.9929	74.7819	45.3441
Zosma106g00570	89.1372	132.927	94.8219	162.455	184.414	120.029
Zosma106g00580	103.426	134.684	92.2025	116.968	164.811	118.028
Zosma106g00590	71.4458	69.0986	45.0535	80.5779	68.9736	67.3494
Zosma106g00600	322.527	260.584	301.754	274.874	253.387	315.408
Zosma106g00630	873	1158.28	777.959	1037.11	1184.17	1310.31
Zosma106g00730	91.8589	142.882	85.3921	120.867	159.002	134.032
Zosma106g00750	129.283	151.666	127.826	115.668	135.043	119.362
Zosma1077g00010	273.535	313.872	292.848	267.726	314.374	272.732
Zosma1077g00020	138.809	212.566	129.398	253.43	259.922	219.386
Zosma107g00010	97.3024	10.5405	15.1925	12.9964	5.08227	9.33556
Zosma107g00030	153.098	56.2158	51.8639	64.3323	47.1925	36.6754
Zosma107g00040	179.635	250.629	127.826	165.704	156.824	177.376
Zosma107g00050	76.8893	52.7023	90.107	55.2348	54.4529	60.6811
Zosma107g00060	130.644	121.215	149.305	159.856	137.947	119.362
Zosma107g00070	579.732	661.707	653.276	547.15	611.324	682.829
Zosma107g00080	361.992	319.727	305.421	341.156	336.156	319.409
Zosma107g00090	0	0	0	0	63.1653	0
Zosma107g00110	1227.51	1118.46	1132.1	1547.22	1314.85	1141.61
Zosma107g00120	113.633	348.421	146.686	114.369	561.227	858.871
Zosma107g00150	621.238	591.437	650.656	660.868	638.914	563.468
Zosma107g00160	55.1153	114.774	78.0578	127.365	58.083	117.361
Zosma107g00210	322.527	201.44	247.794	202.094	161.906	198.714
Zosma107g00220	16.3305	52.1167	7.85817	9.0975	31.2196	30.0071
Zosma107g00250	210.255	601.978	305.421	324.911	1110.84	584.139
Zosma107g00260	107.509	227.206	115.253	196.246	122.7	138.7
Zosma107g00270	4.08262	31.0358	8.38205	31.1914	21.7811	6.66826
Zosma107g00320	54.4349	14.054	33.0043	28.5921	37.0279	12.6697
Zosma107g00330	1266.97	353.691	1211.21	744.046	366.649	316.742
Zosma107g00350	611.032	501.258	621.843	591.987	572.844	502.12
Zosma107g00360	312.32	247.115	306.469	244.983	325.991	255.394
Zosma107g00370	7848.15	6191.94	8897.54	6642.47	7718.51	5108.55
Zosma107g00380	89.8176	165.72	72.819	75.3793	137.947	104.025
Zosma107g00390	425.273	219.007	510.781	501.012	310.018	244.058
Zosma107g00400	44.9088	73.7833	58.1504	47.437	63.1653	68.0162
Zosma107g00410	330.692	423.961	351.522	424.983	542.35	324.744
Zosma107g00420	342.259	232.476	300.706	311.914	260.648	209.383
Zosma107g00430	131.324	129.414	152.448	189.748	180.783	138.033
Zosma107g00450	1019.97	456.754	949.267	1053.36	499.514	618.147
Zosma107g00460	124.52	107.161	135.684	128.015	114.714	109.359
Zosma107g00490	3641.01	1430.58	2166.76	2499.21	1520.32	1489.69
Zosma107g00510	340.218	296.304	339.997	359.351	363.745	276.066
Zosma107g00520	319.125	344.322	368.286	453.575	438.527	346.082
Zosma107g00540	784.543	732.562	830.346	903.252	1166.74	944.225
Zosma107g00560	150.376	153.422	155.592	134.513	209.099	242.724
Zosma107g00590	806.997	541.663	432.723	378.196	552.515	493.451
Zosma107g00600	136.087	166.305	181.786	176.751	181.51	159.371
Zosma107g00620	415.747	454.411	453.678	524.406	551.063	428.769
Zosma107g00630	891.372	537.564	707.759	263.827	579.378	509.455
Zosma107g00640	95.9415	24.5944	30.3849	17.5452	39.9321	21.3384
Zosma107g00680	765.491	841.481	741.287	770.688	876.328	896.88
Zosma107g00690	83.6937	79.6391	98.489	81.2277	114.714	96.6897
Zosma107g00700	511.008	479.006	538.023	502.312	520.569	392.76
Zosma107g00710	432.757	614.861	346.283	324.261	761.614	574.804
Zosma107g00730	606.949	288.692	703.568	776.537	385.526	347.416
Zosma107g00740	470.181	607.248	512.353	794.732	881.41	662.158
Zosma107g00750	219.1	253.557	215.838	209.892	188.044	238.724
Zosma107g00760	215.698	243.016	207.98	185.199	198.208	238.057
Zosma107g00800	47221.6	19128	56301.2	45010.5	29300	20645.6
Zosma107g00810	410.984	415.177	354.665	391.842	479.185	392.76
Zosma107g00820	163.305	163.377	238.888	166.354	261.374	186.711
Zosma107g00830	166.026	204.954	248.842	213.791	178.605	192.713
Zosma107g00850	762.089	614.861	797.866	742.096	564.858	553.465
Zosma107g00860	229.307	310.944	233.65	203.394	241.771	384.758
Zosma107g00870	93.9002	122.387	80.6772	87.7259	125.605	144.701
Zosma107g00880	275.577	341.98	267.702	231.986	384.074	352.751
Zosma107g00890	86.4154	66.7563	88.5354	92.9245	50.8227	66.0157
Zosma108g00030	285.103	299.232	375.62	406.788	230.88	348.75
Zosma108g00040	153.779	244.773	162.926	249.531	174.249	232.722
