tracking_id	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5
Zosma100g00010	18.1145	36.1425	31.8665	27.7899	31.0219	56.4386	47.6276
Zosma100g00030	500.62	546.656	402.676	539.451	408.184	424.857	331.692
Zosma100g00040	118.568	0	1.44848	3.2694	0	17.2451	6.80394
Zosma100g00050	220.668	0	10.1393	11.4429	1.63273	12.5419	8.50493
Zosma100g00060	266.778	185.231	238.999	382.52	272.667	232.025	233.035
Zosma100g00070	451.217	524.067	525.797	459.351	564.926	438.967	498.389
Zosma100g00080	156.444	140.052	292.592	251.744	403.285	199.103	449.06
Zosma100g00090	413.341	2660.99	622.845	2355.6	1051.48	2608.72	256.849
Zosma100g00110	1052.29	424.675	152.09	240.301	65.3094	322.954	268.756
Zosma100g00120	10608.5	29356.8	5014.62	7500.01	3701.41	10126	4376.64
Zosma100g00130	0	149.088	0	0	0	3.13548	0
Zosma100g00150	9190.66	14054.9	9051.53	8949.99	7953.05	11325.3	7717.37
Zosma100g00160	44.463	99.392	136.157	70.2921	138.782	62.7096	751.836
Zosma100g00180	70.8114	72.2851	105.739	255.013	150.212	89.3611	233.035
Zosma100g00200	1487.04	1540.58	1865.64	1567.68	2042.55	1860.91	1331.87
Zosma100g00220	62.5775	63.2494	105.739	83.3697	94.6986	61.1418	40.8236
Zosma100g00230	1714.29	1807.13	2053.94	2009.05	1675.19	2339.07	5317.28
Zosma100g00240	75.7517	54.2138	47.7997	75.1962	57.1457	119.148	45.9266
Zosma100g00250	87.2791	94.8742	241.896	129.141	187.764	100.335	22.1128
Zosma100g00270	92.2195	18.0713	18.8302	6.5388	27.7565	18.8129	28.9168
Zosma100g00280	2366.42	5480.11	1499.17	2219.92	1923.36	2909.72	910.027
Zosma100g00290	74.1049	94.8742	98.4964	107.89	125.721	134.826	81.6473
Zosma100g00310	100.453	76.8029	185.405	132.411	145.313	164.613	37.4217
Zosma100g00320	107.04	22.5891	168.023	112.794	187.764	73.6837	68.0394
Zosma100g00330	59.2839	13.5535	63.7329	45.7716	81.6367	31.3548	76.5443
Zosma100g00340	6.5871	27.1069	13.0363	3.2694	27.7565	3.13548	258.55
Zosma100g00350	363.937	356.908	360.671	380.885	351.038	349.606	164.996
Zosma100g00360	1.64678	0	14.4848	6.5388	37.5529	15.6774	141.182
Zosma101g00010	2488.28	2213.73	1697.61	1337.19	842.491	1912.64	1257.03
Zosma101g00020	136.682	415.639	217.271	315.497	352.671	335.496	312.981
