tracking_id	root_0	root_1	root_2	root_3
Zosma100g00020	93.7747	63.4538	9.40069	40.7189
Zosma100g00030	604.547	665.892	1050.31	815.193
Zosma100g00040	11.3062	85.1028	2531.35	238.613
Zosma100g00050	69.8322	17.9164	269.202	77.3659
Zosma100g00060	890.527	552.421	1052.88	886.044
Zosma100g00070	637.801	697.992	831.534	836.366
Zosma100g00080	144.985	102.273	101.698	165.319
Zosma100g00090	841.977	827.886	552.077	1075.79
Zosma100g00110	15.2966	28.3676	49.5673	37.4614
Zosma100g00120	158.951	188.868	315.35	193.008
Zosma100g00130	812.714	918.214	2.56382	541.562
Zosma100g00140	315.242	297.86	17.0922	191.379
Zosma100g00150	10337.2	8470.71	3110.77	7818.85
Zosma100g00160	25.2726	26.8746	77.7693	45.6052
Zosma100g00180	4104.8	2809.14	401.666	1478.91
Zosma100g00200	923.115	996.598	634.974	888.487
Zosma100g00230	329.209	381.469	30.7659	39.9045
Zosma100g00240	127.028	153.036	264.074	184.049
Zosma100g00280	609.203	619.608	646.084	654.76
Zosma100g00300	1317.5	1266.84	9.40069	1863.3
Zosma100g00320	244.08	170.952	2.56382	293.176
Zosma100g00330	229.449	185.882	57.2587	89.5816
Zosma100g00350	226.123	157.515	368.336	271.188
Zosma100g00370	16.6267	29.8606	47.0034	35.8326
Zosma101g00010	191.54	195.587	157.248	189.75
Zosma101g00020	158.951	215.743	239.29	177.534
Zosma101g00040	337.855	404.611	961.434	762.258
Zosma101g00050	135.009	112.724	53.8403	28.5032
Zosma101g00090	165.602	214.996	266.638	208.481
Zosma101g00110	1475.12	1366.87	797.349	1271.24
Zosma101g00120	162.942	122.429	1.70922	50.4915
Zosma101g00140	190.21	204.545	151.266	109.941
Zosma101g00180	771.479	612.143	1.70922	0
Zosma101g00190	699.652	628.566	382.01	495.142
Zosma101g00210	135.009	129.894	45.2942	108.312
Zosma101g00220	13.3014	8.95819	150.411	6.51503
Zosma101g00230	434.29	270.985	298.258	257.344
Zosma101g00240	873.235	924.933	1118.68	1446.34
Zosma101g00250	2266.55	1924.52	666.594	1437.38
Zosma101g00260	2509.3	2064.12	372.609	485.369
Zosma101g00270	103.086	102.273	188.014	176.72
Zosma101g00280	223.463	335.932	1147.74	775.288
Zosma101g00290	586.59	559.887	421.322	370.542
Zosma101g00300	154.296	117.203	698.215	969.924
Zosma101g00310	81.1384	95.554	137.592	137.63
Zosma101g00320	25.9377	22.3955	80.3332	60.264
Zosma101g00330	103.086	79.8772	96.5707	106.684
Zosma101g00340	2724.12	1822.99	1687	4532.01
Zosma101g00350	468.873	400.879	469.18	561.107
Zosma101g00370	2380.28	1588.58	578.57	1924.38
Zosma101g00380	299.281	308.311	391.411	410.447
Zosma101g00390	317.238	307.564	508.492	483.741
Zosma101g00410	16.6267	26.8746	46.1488	28.5032
Zosma101g00430	422.984	426.26	852.899	530.16
Zosma101g00440	283.319	260.534	288.858	286.661
Zosma101g00450	150.305	144.824	169.212	122.157
Zosma101g00460	276.003	256.055	258.092	243.499
Zosma101g00480	540.701	512.11	37.6028	603.454
Zosma101g00490	506.117	595.719	734.108	710.138
Zosma101g00500	217.477	174.685	43.585	89.5816
Zosma101g00510	2601.75	1876.74	158.957	2269.67
Zosma101g00520	437.615	400.879	36.7482	373.8
Zosma101g00540	188.879	178.417	237.581	172.648
Zosma101g00550	252.726	197.827	111.954	124.6
Zosma101g00560	259.377	222.462	132.464	235.355
Zosma101g00580	61.1863	45.5374	17.0922	15.4732
Zosma101g00620	86.4589	122.429	130.755	146.588
Zosma101g00630	337.855	344.89	215.361	195.451
Zosma101g00640	65.8418	36.5793	74.3509	86.3241
Zosma101g00660	843.307	869.69	852.044	1294.05
