tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma100g00010	35.4284	52.7686	46.2194	57.6242	35.9066	28.2884
Zosma100g00020	7.08569	171.063	9.9689	77.4325	3.98962	6.78921
Zosma100g00030	1383.13	642.502	989.64	764.421	1185.92	1503.81
Zosma100g00040	895.631	786.891	2779.51	2357.19	2475.56	18177
Zosma100g00050	185.645	69.585	1724.62	275.516	1491.12	4948.2
Zosma100g00060	858.785	829.222	657.947	913.884	803.909	866.756
Zosma100g00070	1064.27	469.119	1023.17	687.889	1078.2	1069.3
Zosma100g00080	82.1939	127.573	60.7197	132.356	54.8573	148.231
Zosma100g00090	881.459	394.315	839.2	537.526	852.782	480.902
Zosma100g00100	56.6855	0.579875	82.47	4.50189	69.8184	20.3676
Zosma100g00110	2708.15	332.269	3724.74	1310.95	2691	4509.17
Zosma100g00120	581.026	188.459	701.448	316.033	601.436	599.713
Zosma100g00150	2981.66	6626.81	3526.27	4620.74	2944.34	1887.4
Zosma100g00160	36.8456	30.1535	49.8445	21.6091	37.9014	20.3676
Zosma100g00180	116.205	3315.15	280.035	4792.71	170.556	810.179
Zosma100g00200	1404.38	570.597	1443.68	753.616	1391.38	1007.07
Zosma100g00220	15.5885	139.17	40.7819	64.8272	16.9559	2.26307
Zosma100g00230	11.3371	485.935	12.6877	186.378	10.9715	37.3406
Zosma100g00240	1149.3	182.661	1197.17	307.029	1248.75	428.852
Zosma100g00280	826.191	367.641	902.639	514.116	811.889	1205.08
Zosma100g00290	34.0113	54.5083	32.6255	24.3102	21.9429	14.71
Zosma100g00320	0	23.7749	0	90.0378	0	0
Zosma100g00330	2.83427	365.321	0	108.946	1.99481	0
Zosma100g00350	304.684	248.187	275.504	168.371	254.339	162.941
Zosma101g00010	70.8569	118.295	44.4069	119.75	42.8885	117.68
Zosma101g00020	228.159	155.407	277.317	243.102	193.497	328.145
Zosma101g00040	138.879	476.657	13.594	222.393	113.704	2.26307
Zosma101g00050	342.947	404.753	358.88	585.246	233.393	453.745
Zosma101g00090	182.811	175.122	241.972	140.459	189.507	186.703
Zosma101g00100	19.8399	141.49	11.7814	345.745	15.9585	183.309
Zosma101g00110	626.375	977.67	504.789	786.03	683.223	509.191
Zosma101g00120	0	62.6265	0.906264	15.3064	1.99481	3.3946
Zosma101g00130	1.41714	129.312	0.906264	70.2295	0	1.13153
Zosma101g00140	69.4397	191.939	37.1568	102.643	47.8755	31.683
Zosma101g00190	320.273	557.84	343.474	451.089	322.162	394.906
Zosma101g00210	7.08569	109.017	3.62505	21.6091	1.99481	7.92074
Zosma101g00220	5.66855	217.453	26.2816	971.508	34.9092	113.153
Zosma101g00230	233.828	884.31	190.315	1869.18	149.611	109.759
Zosma101g00240	252.25	610.609	140.471	518.618	486.734	96.1804
Zosma101g00250	89.2796	1603.36	92.4389	453.79	127.668	179.914
Zosma101g00260	192.731	1515.79	200.284	674.383	156.593	135.784
Zosma101g00270	202.651	111.916	144.096	114.348	140.634	105.233
Zosma101g00280	12.7542	80.6027	1.81253	0	9.97406	2.26307
Zosma101g00290	270.673	458.101	277.317	370.956	350.09	300.988
Zosma101g00300	89.2796	188.459	146.815	453.79	152.603	700.42
Zosma101g00310	409.553	738.761	899.92	1369.47	403.95	2612.71
Zosma101g00320	925.39	639.023	915.326	1209.21	1229.8	1566.04
Zosma101g00330	55.2683	44.6504	51.657	48.6204	54.8573	23.7622
Zosma101g00340	205.485	1450.85	223.847	1988.03	254.339	270.437
Zosma101g00350	446.398	408.812	435.913	415.975	572.511	311.172
Zosma101g00380	318.856	259.204	296.348	221.493	391.981	216.123
Zosma101g00390	507.335	501.012	425.038	460.993	407.939	391.511
Zosma101g00410	179.976	61.4668	234.722	162.968	273.289	429.983
Zosma101g00430	889.962	1005.5	706.886	939.094	790.943	905.228
Zosma101g00440	324.524	294.577	290.911	249.405	309.196	297.594
Zosma101g00450	225.325	184.98	229.285	138.658	206.463	190.098
Zosma101g00460	348.616	306.174	397.85	440.285	397.965	381.327
Zosma101g00470	72.274	194.258	46.2194	27.9117	54.8573	30.5514
