Zosma1g00010	Kinase-like protein
Zosma1g00020	Kinase-like protein
Zosma1g00030	Protein kinase, putative
Zosma1g00040	n/a
Zosma1g00050	Pyridoxal phosphate phosphatase PHOSPHO2
Zosma1g00060	Pollen-specific protein SF21
Zosma1g00070	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunitB beta isoform 
Zosma1g00090	pectin methylesterase, family CE8
Zosma1g00100	Chromatin assembly factor 1 subunit FAS2 homolog 
Zosma1g00110	n/a
Zosma1g00120	Pentatricopeptide repeat protein 78
Zosma1g00130	n/a
Zosma1g00140	Phosphatidylserine decarboxylase
Zosma1g00160	n/a
Zosma1g00190	S receptor kinase
Zosma1g00200	Receptor kinase 5
Zosma1g00210	S receptor kinase
Zosma1g00220	PLAC8 family protein
Zosma1g00230	Wound-induced protein
Zosma1g00240	Sorting nexin 2B 
Zosma1g00250	Golgi to ER traffic protein 4
Zosma1g00260	Protein of unknown function, DUF538
Zosma1g00270	Protein LATERAL ORGAN BOUNDARIES 
Zosma1g00280	Multiple inositol polyphosphate phosphatase 1, putative
Zosma1g00290	Probable inactive receptor-like protein kinase
Zosma1g00300	Sorting and assembly machinery component-like protein
Zosma1g00310	n/a
Zosma1g00320	AMP deaminase
Zosma1g00330	Branched-chain amino acid aminotransferase, putative
Zosma1g00340	n/a
Zosma1g00350	Chalcone isomerase
Zosma1g00360	n/a
Zosma1g00370	n/a
Zosma1g00380	n/a
Zosma1g00390	unknown protein
Zosma1g00400	n/a
Zosma1g00410	unknown protein
Zosma1g00420	Alpha N-terminal protein methyltransferase 1 
Zosma1g00430	Protein of unknown function (DUF1068)
Zosma1g00440	Receptor-like kinase
Zosma1g00450	Probable ascorbate-specific transmembrane electron transporter1 
Zosma1g00460	Exportin-7, putative
Zosma1g00470	Diphosphate--fructose-6-phosphate 1-phosphotransferase, 6-phosphofructokinase
Zosma1g00480	DNA (cytosine-5-)-methyltransferase
Zosma1g00490	Acyl-protein thioesterase 2
Zosma1g00500	unknown protein
Zosma1g00510	n/a
Zosma1g00520	Protein of unknown function, DUF538
Zosma1g00530	Calcyclin-binding protein, putative
Zosma1g00540	Receptor-kinase, putative
Zosma1g00550	n/a
Zosma1g00560	n/a
Zosma1g00570	Proteasome subunit alpha type
Zosma1g00580	Kinetochore protein Spc25
Zosma1g00590	HXXXD-type acyl-transferase-like protein
Zosma1g00600	n/a
Zosma1g00610	Cell division control protein 48 homolog D 
Zosma1g00620	Protein of Unknown Function (DUF239)
Zosma1g00630	Ethanolamine kinase
Zosma1g00640	n/a
Zosma1g00650	HXXXD-type acyl-transferase-like protein
Zosma1g00660	Dihydroflavonol-4-reductase 
